;title;artist;top genre;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop;fecha
531;Him & I (with Halsey);G-Eazy;hip hop;88;73;59;-6;31;19;269;5;9;78;29/08/2010
532;Friends (with BloodPop®);Justin Bieber;canadian pop;105;73;74;-5;30;62;189;0;4;77;10/01/2017
533;Wild Thoughts (feat. Rihanna & Bryson Tiller);DJ Khaled;dance pop;98;67;67;-3;12;63;204;3;7;76;26/04/2014
534;My My My!;Troye Sivan;dance pop;103;46;70;-8;5;48;205;0;8;76;12/04/2014
535;Capital Letters;Hailee Steinfeld;dance pop;100;81;66;-6;5;46;219;3;8;76;04/11/2011
536;Sick Boy;The Chainsmokers;electropop;90;58;66;-8;12;45;193;11;5;76;16/09/2016
537;Tequila;Dan + Shay;contemporary country;86;59;47;-6;13;50;196;3;3;76;30/04/2017
538;Look What You Made Me Do;Taylor Swift;pop;128;71;77;-6;13;51;212;20;12;75;02/02/2015
539;Youth (feat. Khalid);Shawn Mendes;canadian pop;100;60;53;-7;13;32;191;56;12;75;26/09/2010
540;Bad Liar;Selena Gomez;dance pop;121;41;97;-6;8;73;215;19;7;75;10/01/2018
541;Anywhere;Rita Ora;dance pop;107;80;63;-4;10;32;215;4;6;74;09/04/2012
542;Say Something;Justin Timberlake;dance pop;97;63;71;-7;8;37;279;10;8;74;09/11/2014
543;Chun-Li;Nicki Minaj;dance pop;129;73;69;-5;11;48;192;28;37;73;13/05/2016
544;Sign of the Times;Harry Styles;dance pop;120;57;52;-5;11;21;341;3;3;72;25/08/2016
545;Familiar;Liam Payne;dance pop;93;81;64;-5;8;91;197;2;33;72;12/02/2013
546;Let Me;ZAYN;dance pop;168;57;46;-6;10;19;185;24;5;72;28/10/2015
547;Supernova;Ansel Elgort;dance pop;140;62;77;-5;21;68;191;6;10;72;10/02/2012
548;Nervous;Shawn Mendes;canadian pop;122;62;84;-7;13;74;164;4;8;71;10/01/2010
549;First Time;Kygo;edm;90;59;63;-7;10;68;194;20;11;71;10/01/2012
550;End Game;Taylor Swift;pop;159;59;65;-6;11;15;245;1;6;70;27/10/2013
551;Mi Gente (feat. Beyoncé);J Balvin;latin;105;72;76;-6;23;47;210;2;8;68;26/05/2010
552;Lemon;N.E.R.D;hip hop;95;73;92;-7;12;20;220;0;9;68;15/12/2013
553;For You (With Rita Ora);Liam Payne;dance pop;113;80;54;-5;42;18;243;2;3;67;04/07/2010
554;Want To;Dua Lipa;dance pop;92;69;57;-5;6;32;212;8;12;67;21/03/2016
555;What I Need (feat. Kehlani);Hayley Kiyoko;dance pop;104;79;63;-4;16;41;220;5;6;67;20/03/2017
556;Wait;Maroon 5;pop;126;60;66;-5;11;45;191;10;6;67;06/10/2015
557;What About Us;P!nk;dance pop;114;59;39;-6;9;19;272;3;6;66;06/03/2014
558;Kissing Strangers;DNCE;dance pop;120;74;77;-6;9;86;202;5;4;66;13/05/2009
559;2U (feat. Justin Bieber);David Guetta;dance pop;145;61;53;-7;23;53;195;23;6;65;09/06/2009
560;Walk On Water (feat. Beyoncé);Eminem;detroit hip hop;82;44;48;-10;64;62;304;81;24;65;11/04/2016
561;This Town;Niall Horan;dance pop;112;41;68;-8;12;20;233;70;3;64;13/09/2016
562;Girls (feat. Cardi B, Bebe Rexha & Charli XCX);Rita Ora;dance pop;94;69;73;-4;10;42;221;2;5;64;25/06/2018
563;MOVE TO MIAMI;Enrique Iglesias;dance pop;100;87;76;-4;7;90;169;3;5;64;16/03/2009
564;Miss You (with Major Lazer & Tory Lanez);Cashmere Cat;downtempo;100;64;75;-5;11;45;186;25;9;64;29/06/2013
565;Filthy;Justin Timberlake;dance pop;97;58;75;-6;25;65;294;4;14;62;26/03/2014
566;Never Be the Same - Radio Edit;Camila Cabello;dance pop;130;69;63;-4;12;25;227;16;9;57;11/04/2017
567;Ferrari;Bebe Rexha;dance pop;77;48;58;-6;10;42;213;2;3;57;11/02/2018
568;Supplies;Justin Timberlake;dance pop;120;55;79;-7;13;23;226;1;5;57;09/07/2015
569;Boom Boom;RedOne;moroccan pop;110;76;75;-8;20;58;248;0;5;53;28/12/2017
570;...Ready For It? - BloodPop® Remix;Taylor Swift;pop;160;84;58;-5;10;50;190;13;22;52;13/12/2016
571;Drip (feat. Migos);Cardi B;pop;130;59;97;-8;8;27;264;5;26;45;11/03/2011
572;Tell Me You Love Me - NOTD Remix;Demi Lovato;dance pop;102;77;58;-5;9;76;182;5;8;44;12/02/2014
573;Memories;Maroon 5;pop;91;32;76;-7;8;57;189;84;5;99;25/12/2009
574;Lose You To Love Me;Selena Gomez;dance pop;102;34;51;-9;21;9;206;58;4;97;21/06/2015
575;Someone You Loved;Lewis Capaldi;pop;110;41;50;-6;11;45;182;75;3;96;03/12/2011
576;Señorita;Shawn Mendes;canadian pop;117;54;76;-6;9;75;191;4;3;95;27/07/2011
577;How Do You Sleep?;Sam Smith;pop;111;68;48;-5;8;35;202;15;9;93;01/12/2014
578;South of the Border (feat. Camila Cabello & Cardi B);Ed Sheeran;pop;98;62;86;-6;9;67;204;15;8;92;15/11/2009
579;Trampoline (with ZAYN);SHAED;electropop;127;46;62;-6;14;50;184;56;3;92;25/01/2012
580;Happier;Marshmello;brostep;100;79;69;-3;17;67;214;19;5;90;07/04/2009
581;Truth Hurts;Lizzo;escape room;158;62;72;-3;12;41;173;11;11;90;13/06/2010
582;Good as Hell (feat. Ariana Grande) - Remix;Lizzo;escape room;96;89;67;-3;74;48;159;30;6;90;28/11/2014
583;Higher Love;Kygo;edm;104;68;69;-7;10;40;228;2;3;88;07/01/2016
584;Only Human;Jonas Brothers;boy band;94;50;80;-6;6;87;183;11;7;87;22/06/2009
585;Beautiful People (feat. Khalid);Ed Sheeran;pop;93;65;64;-8;8;55;198;12;19;86;21/08/2017
586;Sucker;Jonas Brothers;boy band;138;73;84;-5;11;95;181;4;6;86;26/06/2012
587;Don't Call Me Up;Mabel;dance pop;99;88;67;-3;8;23;178;30;15;86;14/05/2009
588;I Don't Care (with Justin Bieber);Ed Sheeran;pop;102;68;80;-5;9;84;220;9;4;85;20/04/2010
589;Talk (feat. Disclosure);Khalid;alternative r&b;136;40;90;-9;6;35;198;5;13;84;22/11/2009
590;Giant (with Rag'n'Bone Man);Calvin Harris;dance pop;122;89;81;-4;8;61;229;2;4;84;20/06/2014
591;Takeaway;The Chainsmokers;electropop;100;51;53;-8;10;35;210;13;3;83;13/06/2010
592;All Around The World (La La La);R3HAB;big room;125;86;73;-5;11;52;148;48;3;82;26/09/2014
593;Girls Like You (feat. Cardi B);Maroon 5;pop;125;54;85;-7;13;45;236;57;5;81;19/08/2014
594;Call You Mine;The Chainsmokers;electropop;104;70;59;-6;34;52;218;20;3;81;21/02/2009
595;No Guidance (feat. Drake);Chris Brown;dance pop;93;45;70;-7;16;14;261;12;15;81;15/09/2017
596;Antisocial (with Travis Scott);Ed Sheeran;pop;152;82;72;-5;36;91;162;13;5;78;23/04/2009
597;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);DJ Snake;electronic trap;96;80;84;-4;6;62;213;16;23;77;06/07/2013
598;Con Calma - Remix;Daddy Yankee;latin;94;87;74;-3;4;61;181;17;5;76;13/04/2014
599;Find U Again (feat. Camila Cabello);Mark Ronson;dance pop;104;66;61;-7;20;16;176;1;3;75;14/04/2010
600;Cross Me (feat. Chance the Rapper & PnB Rock);Ed Sheeran;pop;95;79;75;-6;7;61;206;21;12;75;12/12/2017
601;No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo);DJ Khaled;dance pop;136;76;53;-5;9;65;260;7;34;70;10/05/2010
602;Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;dance pop;114;79;60;-6;42;24;217;1;7;69;01/05/2015
603;Kills You Slowly;The Chainsmokers;electropop;150;44;70;-9;13;23;213;6;6;67;27/01/2011
